,LABID,overlapping.genos,mismatches,Notes
37,z0107078,141,74,
69,z0029863,200,6,"All cases where low coverage run is homo, high coverage is hetero; check with min reads = 20"
33,z0175927,232,4,"This is concerning. Both runs fairly high coverage, higher coverage run generally has 2/1 ratio of allele depths, lower coverage one has 9/1 ratio"
98,z0053845,41,4,Unclear; Not a consistent difference in which is hetero vs. homo
22,z0053757,8,4,"Pretty suspicious, but very few overlapping genos; check with min reads = 20"
51,z0187859,223,2,
41,z0056389,179,2,
74,z0196811,78,2,
92,z0195659,51,2,
72,z0195673,49,2,
65,z0195643,40,2,
5,z0195713,329,1,
13,z0196762,299,1,
6,z0196755,290,1,
91,z0056374,212,1,
84,z0195736,134,1,
79,z0195689,124,1,
16,z0197658,119,1,
34,z0029831,98,1,
53,z0195668,84,1,
59,z0195772,78,1,
14,z0051324,77,1,
49,z0196891,72,1,
83,z0053842,66,1,
43,z0051328,65,1,
90,z0195258,64,1,
95,z0195657,56,1,
55,z0195771,55,1,
45,z0196847,49,1,
44,z0187811,15,1,
76,z0196838,11,1,
80,z0195776,10,1,
2,z0195742,331,0,
15,z0187860,328,0,
17,z0045350,327,0,
1,z0196854,324,0,
10,z0196736,321,0,
8,z0056378,316,0,
7,z0196728,315,0,
18,z0175937,315,0,
3,z0196833,306,0,
9,z0108508,306,0,
12,z0040345,281,0,
73,z0051326,266,0,
85,z0175916,210,0,
38,z0175915,196,0,
96,z0197660,187,0,
39,z0051929,181,0,
67,z0053760,140,0,
47,z0051380,107,0,
63,z0196887,88,0,
11,z0187868,56,0,
36,z0053055,53,0,
94,z0175912,38,0,
20,z0195653,37,0,
70,z0195773,28,0,
86,z0053756,15,0,
56,z0108513,14,0,
50,z0196851,7,0,
62,z0195648,6,0,
81,z0195777,4,0,
42,z0051405,3,0,
89,z0195675,3,0,
40,z0197664,2,0,
4,z0197671,1,0,
19,z0066792,1,0,
21,z0029846,1,0,
32,z0053846,1,0,
54,z0195670,1,0,
57,z0195693,1,0,
58,z0195678,1,0,
60,z0195682,1,0,
61,z0195756,1,0,
64,z0195671,1,0,
66,z0195755,1,0,
68,z0196810,1,0,
71,z0195672,1,0,
75,z0195684,1,0,
78,z0195778,1,0,
82,z0195770,1,0,
87,z0187911,1,0,
88,z0195664,1,0,
93,z0187857,1,0,
23,z0195769,0,0,
24,z0196889,0,0,
25,z0051402,0,0,
26,z0195779,0,0,
27,z0195686,0,0,
28,z0196839,0,0,
29,z0195662,0,0,
30,z0195674,0,0,
31,z0195645,0,0,
35,z0108510,0,0,
46,z0066805,0,0,
48,z0196805,0,0,
52,z0196846,0,0,
77,z0195791,0,0,
97,z0197682,0,0,
99,z0195647,0,0,
100,z0195665,0,0,
101,z0037611,0,0,
